c#type,bothCommentAndArchive,bothDisandKeyInMeta,divCount,externalLinks,forumFreqWordCount,hasBlogWordInMetaData,hasBlogWordInURL,hasCommentBox,hasFeed,hasForumWordInMetaData,hasForumWordInURL,hasMetaDis,hasMetaKeywords,hasPostsArchive,imgCount,imgToParaRatio,intLinkToExtLinkRatio,internalLinks,itemToListRatio,largeImgCount,listCount,listItemCount,orgFreqWordCount,paraCount,rowCount,rowToTableRatio,smallParaCount,tableCount,totLinks,wordCount,wordToParaRatio
orgsite,FALSE,FALSE,14,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,14,1.75,1,8,2,14,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orgsite,FALSE,TRUE,14,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,0,0,8,1.5,4,2,3,0,0,0,0,1,0,8,30,0
orgsite,FALSE,FALSE,12,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,28,8,0,1,8,0,5,0,0,2,0,28,497,99.4
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
orgsite,FALSE,FALSE,68,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,0,17.67,212,7.78,8,23,179,4,0,18,2.57,26,7,224,735,0
orgsite,FALSE,FALSE,71,17,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,0,3.76,64,3.86,11,14,54,3,0,0,0,5,0,81,217,0
orgsite,FALSE,FALSE,37,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,0,29.67,89,7.33,5,9,66,1,0,44,8.8,15,5,92,386,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
orgsite,FALSE,FALSE,2,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,2,2,0,1,0,0,0,0,2,2,2,1,3,19,0
orgsite,FALSE,FALSE,12,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,57,57
orgsite,FALSE,FALSE,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,2,0,2,0,0,0,0,13,4.33,4,3,2,61,0
orgsite,FALSE,FALSE,86,6,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65,0,34.83,209,2.88,33,66,190,4,0,2,2,19,1,215,890,0
orgsite,FALSE,TRUE,44,101,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0.2,20,5.11,0,19,97,2,0,0,0,6,0,121,282,0
orgsite,FALSE,TRUE,81,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,30,0.05,9.73,146,10.17,22,12,122,1,1,7,1.75,41,4,161,717,717
orgsite,FALSE,FALSE,50,25,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,0.13,1.72,43,7,23,3,21,1,3,62,2.95,15,21,68,416,138.67
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,22,0
orgsite,FALSE,TRUE,19,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,69,0.1,14.5,58,0,21,0,0,2,2,98,3.06,10,32,62,256,128
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0
orgsite,FALSE,TRUE,39,23,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,130,0,8,184,5.14,113,37,190,0,0,0,0,1,0,207,106,0
orgsite,FALSE,TRUE,182,41,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,28,0.6,0.88,36,4.63,5,19,88,9,3,0,0,26,0,77,629,209.67
orgsite,FALSE,TRUE,69,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,17,0,6.7,67,6.5,10,4,26,2,0,0,0,19,0,77,351,0
orgsite,FALSE,FALSE,14,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,22,0
orgsite,FALSE,TRUE,78,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,25,0.5,45.33,136,25.2,8,5,126,2,4,5,5,9,1,139,668,167
orgsite,FALSE,TRUE,427,346,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,29,0,0.15,52,4.49,21,72,323,4,0,1,1,50,1,398,1428,0
orgsite,FALSE,TRUE,230,74,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,42,0,2.61,193,4.31,23,64,276,14,0,0,0,33,0,267,994,0
orgsite,FALSE,FALSE,2,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,0.43,21.33,64,0,7,0,0,4,3,106,5.05,25,21,67,710,236.67
orgsite,FALSE,FALSE,4,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,0,22.67,68,0,14,0,0,2,0,35,2.69,11,13,71,255,0
orgsite,FALSE,FALSE,25,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.6,13,13,4.14,5,7,29,2,3,29,2.9,11,10,14,479,159.67
orgsite,FALSE,TRUE,60,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,23,0,26.67,160,5.17,14,24,124,2,0,4,1,18,4,166,554,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
orgsite,FALSE,FALSE,59,29,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,0.75,3.28,95,9,4,1,9,3,3,193,3.39,5,57,124,491,163.67
orgsite,FALSE,FALSE,26,28,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98,0.14,23.71,664,4.08,7,143,583,5,1,455,1.9,49,240,692,2190,2190
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
orgsite,FALSE,TRUE,175,22,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,82,0.02,11.64,256,1.23,55,182,223,2,1,42,2.21,13,19,278,691,691
orgsite,FALSE,TRUE,206,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,14,1.17,36.25,290,6.61,6,38,251,6,7,2,2,39,1,298,1447,206.71
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orgsite,FALSE,FALSE,85,26,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,0.29,2.23,58,8.6,14,5,43,11,4,0,0,17,0,84,494,123.5
orgsite,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,0.25,0,1,0,12,0,0,0,3,40,2.67,12,15,1,372,124
orgsite,FALSE,FALSE,192,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,14,0.5,26,104,5.47,8,15,82,3,4,0,0,24,0,108,800,200
orgsite,FALSE,TRUE,47,14,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,0,6.57,92,6.36,5,14,89,5,0,0,0,11,0,106,312,0
orgsite,FALSE,TRUE,40,19,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,10,1.4,3.26,62,5.22,5,9,47,1,7,0,0,16,0,81,692,98.86
orgsite,FALSE,TRUE,20,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,33,0,2.75,33,0,11,0,0,3,0,91,1.9,9,48,45,222,0
orgsite,FALSE,TRUE,38,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,0.5,18.8,94,5.22,2,18,94,6,1,0,0,8,0,99,414,414
orgsite,FALSE,TRUE,28,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,14,0.25,8.6,43,8.75,8,4,35,4,2,0,0,4,0,48,191,95.5
orgsite,FALSE,TRUE,243,66,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,53,8,0.94,62,4.06,1,17,69,4,8,18,1.2,52,15,128,1115,139.38
orgsite,FALSE,FALSE,34,17,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,0.17,2.47,42,4.4,6,5,22,4,1,0,0,7,0,59,225,225
orgsite,FALSE,TRUE,61,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24,0,6.5,104,4,15,11,44,6,0,0,0,6,0,120,250,0
orgsite,FALSE,FALSE,44,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2.6,13,2.8,4,5,14,2,0,0,0,8,0,18,152,0
orgsite,FALSE,FALSE,298,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,31,0.8,18.5,111,3.75,15,4,15,36,12,24,1.41,11,17,117,1028,85.67
orgsite,FALSE,TRUE,76,17,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,16,0.2,5.53,94,3.67,10,21,77,11,2,31,3.44,8,9,111,403,201.5
orgsite,FALSE,TRUE,1,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,17,0.33,1.86,13,0,9,0,0,0,3,5,1.67,3,3,20,182,60.67
orgsite,FALSE,FALSE,115,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,0.33,2.67,16,1.5,3,2,3,3,1,15,1.07,6,14,22,122,122
orgsite,FALSE,TRUE,61,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18,0.75,2.44,22,3,4,2,6,1,3,2,2,21,1,31,449,149.67
orgsite,FALSE,TRUE,47,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,22,0.11,3.17,38,5,9,2,10,3,1,3,1,8,3,50,193,193
orgsite,FALSE,FALSE,53,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129,0.02,8.18,90,6.71,41,7,47,3,1,49,4.45,26,11,101,457,457
orgsite,FALSE,FALSE,24,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0.25,3.67,11,4,4,2,8,0,1,0,0,3,0,14,80,80
orgsite,FALSE,FALSE,20,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.67,2,14,3.25,3,4,13,5,2,0,0,10,0,21,225,112.5
orgsite,FALSE,FALSE,38,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0,9.33,28,4,9,3,12,4,0,0,0,4,0,31,91,0
orgsite,FALSE,FALSE,61,10,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,18,0.13,15.8,158,6.05,15,22,133,5,2,0,0,16,0,168,575,287.5
orgsite,FALSE,FALSE,37,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,0.5,4.86,34,2,8,5,10,1,4,6,3,17,2,41,522,130.5
orgsite,FALSE,TRUE,70,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,26,0,5.67,51,2.9,8,10,29,3,0,3,1,18,3,60,344,0
orgsite,FALSE,FALSE,46,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,0,5.5,22,5.33,9,3,16,7,0,3,3,7,1,26,166,0
orgsite,FALSE,TRUE,6,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,21,0.07,2.25,18,0,14,0,0,2,1,26,3.71,2,7,26,120,120
orgsite,FALSE,FALSE,12,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,0.17,7.4,37,5.14,6,7,36,3,1,0,0,2,0,42,132,132
orgsite,FALSE,TRUE,22,19,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24,0.57,2.58,49,4.58,14,12,55,6,8,4,4,16,1,68,1811,226.38
orgsite,FALSE,TRUE,77,10,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,23,0.26,5.1,51,3.12,19,17,53,3,5,0,0,5,0,61,430,86
orgsite,FALSE,FALSE,15,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.2,7,14,2,5,1,2,1,1,0,0,9,0,16,175,175
orgsite,FALSE,FALSE,50,7,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,7,1.14,7.57,53,4.07,7,15,61,9,8,0,0,15,0,60,762,95.25
orgsite,FALSE,TRUE,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,21,0
orgsite,FALSE,TRUE,41,13,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12,0.5,2.85,37,3.45,4,11,38,4,2,5,1,3,5,50,221,110.5
orgsite,FALSE,TRUE,29,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,10,0,0.5,1,2.67,10,3,8,0,0,0,0,5,0,3,88,0
orgsite,FALSE,FALSE,39,76,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,0,0.05,4,2.61,2,18,47,2,0,3,1.5,8,2,80,257,0
orgsite,FALSE,TRUE,21,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,0.5,6.86,48,4.07,2,15,61,6,1,0,0,3,0,55,186,186
orgsite,FALSE,TRUE,48,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,13,0.22,9.33,28,5.4,9,5,27,1,2,0,0,12,0,31,276,138
orgsite,FALSE,TRUE,22,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,0.14,21,21,3,7,4,12,3,1,2,1,4,2,22,131,131
orgsite,FALSE,TRUE,42,14,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,63,0.49,4.07,57,2.24,37,25,56,8,18,44,1.76,14,25,71,1083,60.17
orgsite,FALSE,FALSE,59,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,1,29,29,5.5,2,2,11,0,2,0,0,9,0,30,313,156.5
orgsite,FALSE,FALSE,149,20,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,0.06,4.1,82,5.1,16,10,51,9,1,6,2,18,3,102,441,441
orgsite,FALSE,TRUE,173,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,116,0.14,5.11,46,5.5,28,2,11,5,4,0,0,24,0,55,715,178.75
orgsite,FALSE,FALSE,17,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,0,6.5,39,0,9,0,0,0,0,71,2.37,3,30,45,101,0
orgsite,FALSE,TRUE,9,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,29,0,3.6,18,0,21,0,0,0,0,34,3.78,3,9,23,38,0
orgsite,FALSE,TRUE,33,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9,0,14.8,74,3.64,3,22,80,3,0,0,0,7,0,79,261,0
orgsite,FALSE,TRUE,87,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7,0,21,63,3.11,7,19,59,3,0,0,0,6,0,66,242,0
orgsite,FALSE,TRUE,32,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12,0,12.4,62,3.88,10,17,66,3,0,0,0,1,0,67,158,0
orgsite,FALSE,TRUE,63,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,0,10,60,3.7,0,10,37,6,0,11,2.75,18,4,66,365,0
orgsite,FALSE,TRUE,65,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,17,0,23.5,47,7,9,2,14,3,0,0,0,3,0,49,127,0
orgsite,FALSE,TRUE,58,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9,0,37.75,151,10.25,8,12,123,9,0,0,0,22,0,155,612,0
orgsite,FALSE,TRUE,27,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,25,0,4.3,43,5.22,17,9,47,3,0,8,4,6,2,53,353,0
